DivisionNm,CountNumber,BallotPosition,Surname,GivenNm,PartyAb,PartyNm,Elected,PreferenceCount,PreferencePercent,TransferCount,TransferPercent,Winner,DistributingBallotPosition,DistributingSurname,DistributingGivenNm,DistributingPartyAb,DistributingPartyNm
Brisbane City Marchant,0,1,LYNCH,Susan,ALP,Australian Labor Party (State of Queensland),N,7842,32.62,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Marchant,0,2,MEYER,John,GRN,Queensland Greens,N,4331,18.01,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Marchant,0,3,HAMMOND,Fiona,LNP,Liberal National Party of Queensland,Y,11870,49.37,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Marchant,0,4,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Marchant,1,1,LYNCH,Susan,ALP,Australian Labor Party (State of Queensland),N,10083,45.02,2241,51.74,LNP,2,MEYER,John,GRN,Queensland Greens
Brisbane City Marchant,1,2,MEYER,John,GRN,Queensland Greens,N,0,0,-4331,-100.0,LNP,2,MEYER,John,GRN,Queensland Greens
Brisbane City Marchant,1,3,HAMMOND,Fiona,LNP,Liberal National Party of Queensland,Y,12315,54.98,445,10.27,LNP,2,MEYER,John,GRN,Queensland Greens
Brisbane City Marchant,1,4,Exhausted,Exhausted,Exhausted,Exhausted,N,1645,6.84,1645,37.98,LNP,2,MEYER,John,GRN,Queensland Greens
Brisbane City Moorooka,0,1,GRIFFITHS,Steve,ALP,Australian Labor Party (State of Queensland),Y,10416,49.94,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Moorooka,0,2,GILLESPIE,Brett,,,N,1000,4.79,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Moorooka,0,3,GARTON,Claire,GRN,Queensland Greens,N,4209,20.18,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Moorooka,0,4,CRAZE,Warren,LNP,Liberal National Party of Queensland,N,5234,25.09,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Moorooka,0,5,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Moorooka,1,1,GRIFFITHS,Steve,ALP,Australian Labor Party (State of Queensland),Y,10569,52.18,153,15.3,ALP,2,GILLESPIE,Brett,,
Brisbane City Moorooka,1,2,GILLESPIE,Brett,,,N,0,0,-1000,-100.0,ALP,2,GILLESPIE,Brett,,
Brisbane City Moorooka,1,3,GARTON,Claire,GRN,Queensland Greens,N,4330,21.38,121,12.1,ALP,2,GILLESPIE,Brett,,
Brisbane City Moorooka,1,4,CRAZE,Warren,LNP,Liberal National Party of Queensland,N,5354,26.44,120,12.0,ALP,2,GILLESPIE,Brett,,
Brisbane City Moorooka,1,5,Exhausted,Exhausted,Exhausted,Exhausted,N,606,2.91,606,60.6,ALP,2,GILLESPIE,Brett,,
Brisbane City Moorooka,2,1,GRIFFITHS,Steve,ALP,Australian Labor Party (State of Queensland),Y,12837,69.55,2268,52.38,ALP,3,GARTON,Claire,GRN,Queensland Greens
Brisbane City Moorooka,2,2,GILLESPIE,Brett,,,N,0,0,0,0,ALP,3,GARTON,Claire,GRN,Queensland Greens
Brisbane City Moorooka,2,3,GARTON,Claire,GRN,Queensland Greens,N,0,0,-4330,-100.0,ALP,3,GARTON,Claire,GRN,Queensland Greens
Brisbane City Moorooka,2,4,CRAZE,Warren,LNP,Liberal National Party of Queensland,N,5621,30.45,267,6.17,ALP,3,GARTON,Claire,GRN,Queensland Greens
Brisbane City Moorooka,2,5,Exhausted,Exhausted,Exhausted,Exhausted,N,2401,11.51,1795,41.45,ALP,3,GARTON,Claire,GRN,Queensland Greens
Brisbane City Morningside,0,1,MOORE,Toby,LNP,Liberal National Party of Queensland,N,8242,36.94,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Morningside,0,2,KUELSEN,Rolf,GRN,Queensland Greens,N,3390,15.2,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Morningside,0,3,COOK,Kara,ALP,Australian Labor Party (State of Queensland),Y,10677,47.86,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Morningside,0,4,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Morningside,1,1,MOORE,Toby,LNP,Liberal National Party of Queensland,N,8482,40.34,240,7.08,ALP,2,KUELSEN,Rolf,GRN,Queensland Greens
Brisbane City Morningside,1,2,KUELSEN,Rolf,GRN,Queensland Greens,N,0,0,-3390,-100.0,ALP,2,KUELSEN,Rolf,GRN,Queensland Greens
Brisbane City Morningside,1,3,COOK,Kara,ALP,Australian Labor Party (State of Queensland),Y,12543,59.66,1866,55.04,ALP,2,KUELSEN,Rolf,GRN,Queensland Greens
Brisbane City Morningside,1,4,Exhausted,Exhausted,Exhausted,Exhausted,N,1284,5.76,1284,37.88,ALP,2,KUELSEN,Rolf,GRN,Queensland Greens
